City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Thompson,CA,55.7435,-97.8558,28.4,80,75,9.22,broken clouds
Lexington Park,US,38.2668,-76.4538,60.01,94,90,8.05,moderate rain
Te Anau,NZ,-45.4167,167.7167,54.12,88,75,3.36,broken clouds
Itaituba,BR,-4.2761,-55.9836,72.19,99,92,0.87,light rain
Albany,US,42.6001,-73.9662,61.0,71,100,2.86,overcast clouds
Fukue,JP,32.6881,128.8419,66.2,48,20,9.22,few clouds
Hermanus,ZA,-34.4187,19.2345,63.05,87,100,3.98,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,70.0,75,99,13.15,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,74.8,90,78,2.33,broken clouds
Kapaa,US,22.0752,-159.319,71.6,68,1,11.5,clear sky
Vaini,TO,-21.2,-175.2,78.8,73,20,4.61,few clouds
Mar Del Plata,AR,-38.0023,-57.5575,60.8,94,90,23.02,heavy intensity rain
Goderich,CA,43.7501,-81.7165,64.4,48,100,13.8,overcast clouds
Hamilton,US,39.1834,-84.5333,55.99,82,1,6.91,clear sky
Sisimiut,GL,66.9395,-53.6735,25.92,79,99,9.89,overcast clouds
Burnie,AU,-41.0667,145.9167,51.01,64,42,30.0,light rain
Faanui,PF,-16.4833,-151.75,82.69,72,56,11.27,broken clouds
Punta Alta,AR,-38.8759,-62.0736,57.81,81,98,6.08,overcast clouds
Caohai,CN,26.8661,104.2841,70.36,37,69,6.85,broken clouds
La Palma,US,33.8464,-118.0467,60.8,82,1,3.44,clear sky
Lebu,CL,-37.6167,-73.65,50.18,83,8,6.22,clear sky
Half Moon Bay,US,37.4636,-122.4286,50.0,81,1,8.05,haze
Isangel,VU,-19.55,169.2667,86.0,79,75,11.5,broken clouds
Hobart,AU,-42.8794,147.3294,51.01,71,75,20.71,light rain
Mataura,NZ,-46.1927,168.8643,57.99,81,97,5.99,overcast clouds
Barrow,US,71.2906,-156.7887,-9.4,70,1,6.91,clear sky
Jamestown,US,42.097,-79.2353,59.0,94,90,13.8,light rain
Filadelfia,US,39.9523,-75.1638,61.0,94,90,4.18,overcast clouds
Katsuura,JP,35.1333,140.3,62.6,51,20,4.61,few clouds
Ostrovnoy,RU,68.0531,39.5131,29.25,81,26,24.65,scattered clouds
Georgetown,MY,5.4112,100.3354,91.4,66,20,6.91,few clouds
Rundu,NA,-17.9333,19.7667,61.39,52,0,5.7,clear sky
Nikolskoye,RU,59.7035,30.7861,37.99,69,0,6.71,clear sky
Constitucion,CL,-35.3333,-72.4167,52.48,70,0,9.44,clear sky
Burgeo,CA,47.6167,-57.6152,33.85,86,65,12.12,broken clouds
Busselton,AU,-33.65,115.3333,59.0,97,100,1.99,overcast clouds
Victoria,HK,22.2855,114.1577,80.6,54,20,10.36,few clouds
Klaksvik,FO,62.2266,-6.589,24.8,74,100,1.14,overcast clouds
Doha,QA,25.2867,51.5333,88.0,61,0,11.5,clear sky
Necochea,AR,-38.5473,-58.7368,55.99,95,100,8.01,light rain
Tiksi,RU,71.6872,128.8694,1.8,82,26,7.36,scattered clouds
Cidreira,BR,-30.1811,-50.2056,74.19,83,100,10.4,overcast clouds
Krivosheino,RU,57.3431,83.9261,44.64,68,97,6.93,overcast clouds
Kapit,MY,2.0167,112.9333,89.15,58,95,2.71,overcast clouds
Mayya,RU,61.7333,130.2811,23.0,63,75,15.66,snow
Bluff,NZ,-46.6,168.3333,57.99,81,91,5.99,overcast clouds
Pevek,RU,69.7008,170.3133,-9.78,93,52,1.61,broken clouds
Port Alfred,ZA,-33.5906,26.891,70.38,83,89,4.9,overcast clouds
Butaritari,KI,3.0707,172.7902,81.7,77,100,8.68,light rain
Mae Ramat,TH,16.984,98.5166,93.2,49,20,3.44,few clouds
Tautira,PF,-17.7333,-149.15,84.0,65,40,1.14,scattered clouds
Nanortalik,GL,60.1432,-45.2371,34.7,81,38,10.29,scattered clouds
Teahupoo,PF,-17.8333,-149.2667,84.0,65,40,1.14,scattered clouds
Barguzin,RU,53.6167,109.6167,25.56,52,79,8.81,broken clouds
Clyde River,CA,70.4692,-68.5914,26.6,80,90,11.5,light snow
Povenets,RU,62.8487,34.8262,34.97,81,49,14.2,scattered clouds
Cuitlahuac,MX,18.8167,-96.7167,80.01,45,60,1.01,broken clouds
Oranjemund,NA,-28.55,16.4333,63.48,79,10,5.77,clear sky
Komsomolskiy,UZ,40.4272,71.7189,66.2,30,0,6.91,clear sky
New Norfolk,AU,-42.7826,147.0587,50.0,76,96,7.0,overcast clouds
Maceio,BR,-9.6658,-35.7353,71.6,94,75,5.75,mist
Ancud,CL,-41.8697,-73.8203,54.0,100,90,13.8,light rain
Egvekinot,RU,66.3167,-179.1667,-3.53,84,100,15.68,overcast clouds
Fram,PY,-26.9833,-55.8833,77.0,69,0,3.44,light rain
Cape Town,ZA,-33.9258,18.4232,63.0,94,0,8.05,clear sky
Mezhdurechenskiy,RU,59.6,65.9333,46.36,77,99,13.04,overcast clouds
Yar-Sale,RU,66.8333,70.8333,33.49,94,14,17.07,few clouds
Geretsried,DE,47.8578,11.4805,43.0,87,75,3.44,broken clouds
Palmer,US,42.1584,-72.3287,55.99,94,1,3.44,clear sky
Aklavik,CA,68.2191,-135.0107,-5.8,64,20,5.75,few clouds
Masunga,BW,-20.6246,27.4488,55.4,94,0,3.44,clear sky
Bethel,US,41.3712,-73.414,55.0,87,1,3.38,clear sky
Chokurdakh,RU,70.6333,147.9167,-6.84,94,14,1.14,few clouds
Saldanha,ZA,-33.0117,17.9442,57.2,88,96,10.78,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,82.4,69,0,3.44,light rain
Yellowknife,CA,62.456,-114.3525,-0.4,60,20,10.36,few clouds
Leningradskiy,RU,69.3833,178.4167,-9.35,98,96,3.22,overcast clouds
Cantavir,RS,45.9219,19.7627,49.37,61,78,9.71,broken clouds
Veraval,IN,20.9,70.3667,89.01,43,0,10.74,clear sky
Phuket,TH,8.0,98.25,90.0,62,20,9.22,few clouds
Bilma,NE,18.6853,12.9164,79.07,9,1,9.04,clear sky
Guerrero Negro,MX,27.9769,-114.0611,60.39,83,100,13.33,overcast clouds
Kawalu,ID,-7.3817,108.2082,85.95,64,99,3.06,overcast clouds
Saint-Denis,FR,48.9167,2.3333,42.01,87,90,11.5,overcast clouds
Albury,AU,-36.0833,146.9167,60.01,54,40,21.85,scattered clouds
Atuona,PF,-9.8,-139.0333,80.78,73,65,17.72,broken clouds
Kaitangata,NZ,-46.2817,169.8464,55.0,95,99,4.7,overcast clouds
Bonavista,CA,48.6499,-53.1147,36.0,100,100,3.44,light rain
Port Lincoln,AU,-34.7333,135.8667,60.66,54,85,12.35,overcast clouds
Alice Springs,AU,-23.7,133.8833,77.0,31,28,14.97,scattered clouds
Airai,TL,-8.9266,125.4092,71.98,62,75,1.59,broken clouds
Nuuk,GL,64.1835,-51.7216,26.6,100,90,10.36,overcast clouds
Waddan,LY,29.1614,16.139,60.58,24,41,19.15,scattered clouds
Henties Bay,NA,-22.116,14.2845,80.1,33,0,13.22,clear sky
Mahebourg,MU,-20.4081,57.7,82.4,65,75,12.66,broken clouds
San Patricio,US,28.017,-97.5169,71.6,49,1,4.61,clear sky
Asfi,MA,32.2994,-9.2372,58.3,86,57,6.71,broken clouds
Saint Anthony,US,45.0205,-93.218,46.4,66,90,14.97,overcast clouds
Pampierstad,ZA,-27.7832,24.6877,73.62,35,2,2.21,clear sky
Richards Bay,ZA,-28.783,32.0377,73.35,70,12,9.13,few clouds
Tessalit,ML,20.1986,1.0114,79.38,14,35,9.69,scattered clouds
Sechura,PE,-5.5569,-80.8222,72.12,76,92,13.2,overcast clouds
Rawson,AR,-43.3002,-65.1023,59.9,51,46,14.94,scattered clouds
Chuy,UY,-33.6971,-53.4616,69.91,97,100,9.33,moderate rain
Port Augusta,AU,-32.5,137.7667,66.2,42,90,12.66,overcast clouds
Vanimo,PG,-2.6741,141.3028,81.73,85,95,13.89,overcast clouds
Rosetta,EG,31.4044,30.4164,59.0,51,40,16.11,scattered clouds
Cascais,PT,38.6979,-9.4215,59.0,87,1,10.11,clear sky
Olafsvik,IS,64.8945,-23.7142,38.48,97,100,8.84,light rain
Bambous Virieux,MU,-20.3428,57.7575,82.4,65,75,12.66,broken clouds
Zhigansk,RU,66.7697,123.3711,16.41,80,3,17.94,clear sky
Port Elizabeth,ZA,-33.918,25.5701,62.6,100,90,4.61,mist
Mao,ES,39.8885,4.2658,51.8,100,20,3.44,fog
Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.2,94,0,3.44,clear sky
Salvador,SV,13.8333,-88.9167,77.0,88,20,4.61,few clouds
Hambantota,LK,6.1241,81.1185,89.6,62,40,5.75,scattered clouds
Bredasdorp,ZA,-34.5322,20.0403,50.0,93,100,2.3,overcast clouds
Bengkulu,ID,-3.8004,102.2655,84.85,67,28,8.66,scattered clouds
Pundaguitan,PH,6.3711,126.1689,82.18,72,99,4.34,light rain
Isla Vista,US,34.4133,-119.861,62.01,82,1,6.91,clear sky
Shelburne,CA,44.0787,-80.2041,57.0,59,100,11.83,overcast clouds
Aleksandrovskoye,RU,44.7142,43.0008,42.8,93,90,2.24,mist
Berlevag,NO,70.8578,29.0864,30.42,86,71,17.18,broken clouds
Quatre Cocos,MU,-20.2078,57.7625,82.4,65,75,12.66,broken clouds
Baghdad,IQ,33.3406,44.4009,60.8,44,0,19.57,clear sky
Saryg-Sep,RU,51.5,95.6,40.77,35,8,5.5,clear sky
Ushtobe,KZ,45.2514,77.9838,62.76,25,19,20.2,few clouds
Kruisfontein,ZA,-34.0033,24.7314,63.46,66,81,2.42,broken clouds
Longyearbyen,SJ,78.2186,15.6401,21.2,58,40,19.57,scattered clouds
Dali,CN,25.7,100.1833,72.97,34,43,11.54,scattered clouds
Inhambane,MZ,-23.865,35.3833,78.8,83,20,6.08,few clouds
Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,1,10.36,clear sky
Pemberton,CA,50.3164,-122.8027,33.8,86,25,2.3,scattered clouds
Fort-Shevchenko,KZ,44.5086,50.263,68.43,30,50,18.03,scattered clouds
Bathsheba,BB,13.2167,-59.5167,78.8,65,100,13.8,volcanic ash
Port Blair,IN,11.6667,92.75,87.8,74,40,3.44,scattered clouds
Solikamsk,RU,59.6196,56.7729,37.83,98,100,4.16,overcast clouds
Itarema,BR,-2.9248,-39.9167,77.04,85,54,9.8,broken clouds
Tocopilla,CL,-22.092,-70.1979,66.04,76,51,4.72,broken clouds
Gasa,PS,31.5,34.4667,62.01,55,19,3.0,few clouds
Ucluelet,CA,48.9329,-125.5528,39.99,78,10,6.51,clear sky
Ahuimanu,US,21.4447,-157.8378,73.4,60,75,8.05,broken clouds
Westport,US,41.1415,-73.3579,55.0,100,90,4.7,fog
Wanaka,NZ,-44.7,169.15,54.77,93,98,2.71,overcast clouds
Kapuskasing,CA,49.4169,-82.4331,48.2,93,73,2.3,broken clouds
Paamiut,GL,61.994,-49.6678,28.31,82,27,9.33,scattered clouds
Binga,ZW,-17.6203,27.3414,69.6,57,0,0.92,clear sky
Chapais,CA,49.7834,-74.8492,46.4,49,90,9.22,overcast clouds
Nikolayevsk-Na-Amure,RU,53.1406,140.73,46.71,73,98,6.55,light rain
Gat,IL,31.61,34.7642,62.01,55,48,3.0,scattered clouds
Chara,RU,56.9064,118.2631,12.52,44,66,1.54,broken clouds
Waingapu,ID,-9.6567,120.2641,85.35,65,53,6.6,broken clouds
Sao Filipe,CV,14.8961,-24.4956,74.03,66,3,8.66,clear sky
Avera,US,33.194,-82.5271,59.0,97,1,8.19,clear sky
Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,54,0,20.71,clear sky
La Union,PE,-5.4,-80.75,74.28,70,95,13.96,overcast clouds
East London,ZA,-33.0153,27.9116,66.2,94,75,3.44,broken clouds
Rockhampton,AU,-23.3833,150.5,84.2,39,90,8.05,overcast clouds
Mnogovershinnyy,RU,53.9353,139.9242,35.65,88,79,1.41,broken clouds
Mabaruma,GY,8.2,-59.7833,73.38,96,100,1.63,overcast clouds
Luderitz,NA,-26.6481,15.1594,74.68,47,0,6.2,clear sky
San Policarpo,PH,12.1791,125.5072,83.37,69,100,10.4,overcast clouds
Kahului,US,20.8947,-156.47,73.4,64,20,9.22,few clouds
Ridgecrest,US,35.6225,-117.6709,69.8,21,1,6.91,clear sky
Fort Nelson,CA,58.8053,-122.7002,21.2,49,75,4.61,light snow
Geraldton,AU,-28.7667,114.6,96.8,32,75,21.85,broken clouds
Kamaishi,JP,39.2667,141.8833,57.2,24,20,3.44,few clouds
Kiama,AU,-34.6833,150.8667,66.0,41,44,8.01,scattered clouds
Agapovka,RU,53.2973,59.1348,39.2,81,99,6.71,overcast clouds
Margate,GB,51.3813,1.3862,39.0,72,72,7.0,broken clouds
Mwinilunga,ZM,-11.7358,24.4293,61.9,84,99,7.09,overcast clouds
Eyl,SO,7.9803,49.8164,84.36,56,7,12.37,clear sky
Honningsvag,NO,70.9821,25.9704,34.72,95,100,15.21,light snow
Kiunga,PG,-6.1219,141.2906,82.78,72,75,3.13,broken clouds
Lagoa Santa,BR,-19.6272,-43.8897,64.4,77,0,4.61,clear sky
Zhangye,CN,38.9342,100.4517,56.79,37,100,13.02,light rain
Taitung,TW,22.7583,121.1444,78.8,65,75,3.44,broken clouds
Leshukonskoye,RU,64.8989,45.7622,37.08,76,98,14.72,overcast clouds
Dikson,RU,73.5069,80.5464,30.9,93,100,24.18,overcast clouds
Anadyr,RU,64.75,177.4833,5.0,72,100,26.84,snow
Ostrov,RU,57.3439,28.3537,30.2,100,90,2.73,snow
Hami,CN,42.8,93.45,61.97,22,100,6.35,overcast clouds
Otavi,NA,-19.65,17.3333,62.1,48,0,9.24,clear sky
Bida,NG,9.0833,6.0167,79.47,72,35,4.47,scattered clouds
Adilabad,IN,19.6667,78.5333,99.75,19,96,2.28,overcast clouds
Maputo,MZ,-25.9653,32.5892,69.8,94,0,5.75,clear sky
Lavrentiya,RU,65.5833,-171.0,1.89,78,100,24.96,overcast clouds
Hobyo,SO,5.3505,48.5268,85.37,51,44,15.79,scattered clouds
Aksu,CN,41.1231,80.2644,65.07,18,0,2.55,clear sky
Calbuco,CL,-41.768,-73.1273,51.8,93,90,19.57,light rain
Pauini,BR,-7.7136,-66.9764,69.69,99,97,1.21,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,73.56,73,0,14.34,clear sky
Shenzhen,CN,22.5455,114.0683,78.8,61,20,6.71,few clouds
Pucallpa,PE,-8.3791,-74.5539,71.64,95,100,1.63,overcast clouds
Lethem,GY,3.3803,-59.7968,76.37,83,99,5.73,overcast clouds
Obo,CF,5.3998,26.4869,74.01,77,100,4.0,overcast clouds
Taoudenni,ML,22.6783,-3.9836,76.41,19,0,7.85,clear sky
Bud,US,39.447,-86.1758,50.0,76,1,10.36,clear sky
Tra Vinh,VN,9.9347,106.3453,91.8,48,47,14.0,scattered clouds
Lagoa,PT,39.05,-27.9833,60.04,94,100,18.92,overcast clouds
Iqaluit,CA,63.7506,-68.5145,21.2,86,90,24.16,snow
Coquimbo,CL,-29.9533,-71.3436,53.6,82,0,3.44,clear sky
Bandarbeyla,SO,9.4942,50.8122,82.63,60,8,8.21,clear sky
Korsakov,RU,46.6328,142.7813,55.4,33,4,11.18,clear sky
Souillac,MU,-20.5167,57.5167,82.4,65,75,12.66,broken clouds
Provideniya,RU,64.3833,-173.3,2.21,91,100,23.47,light snow
Nosy Varika,MG,-20.5833,48.5333,79.65,76,98,5.48,overcast clouds
Umm Lajj,SA,25.0213,37.2685,72.9,36,0,16.26,clear sky
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,42.8,49,15,11.18,few clouds
Mehamn,NO,71.0357,27.8492,33.98,97,99,11.95,light snow
Afonso Bezerra,BR,-5.4983,-36.5056,75.36,87,100,6.8,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,33.8,80,40,6.26,scattered clouds
Denpasar,ID,-8.65,115.2167,82.4,83,40,3.44,scattered clouds
Ilulissat,GL,69.2167,-51.1,19.4,86,90,8.05,overcast clouds
Porto Novo,BJ,6.4965,2.6036,80.4,83,66,6.29,broken clouds
Road Town,VG,18.4167,-64.6167,75.0,75,54,1.99,broken clouds
Tual,ID,-5.6667,132.75,82.92,73,51,9.84,broken clouds
Yarega,RU,63.4354,53.5765,40.01,71,8,12.68,clear sky
San Quintin,MX,30.4833,-115.95,58.51,84,96,12.12,overcast clouds
Cambridge,CA,43.3601,-80.3127,60.8,59,75,12.66,broken clouds
Sheridan,US,44.8333,-106.9173,37.99,75,90,33.38,overcast clouds
Dubbo,AU,-32.25,148.6167,60.8,33,75,17.27,broken clouds
Baft,IR,29.234,56.6057,65.71,16,26,4.25,scattered clouds
Nizhniy Odes,RU,63.6445,54.856,39.33,76,11,11.95,few clouds
Pisco,PE,-13.7,-76.2167,69.8,73,0,6.91,clear sky
Labuhan,ID,-6.8844,112.2051,86.61,66,59,4.52,broken clouds
Gornji Milanovac,RS,44.0333,20.45,33.8,100,0,2.3,clear sky
Kavieng,PG,-2.5744,150.7967,80.83,81,81,13.35,moderate rain
Fortuna,US,40.5982,-124.1573,46.0,87,1,6.91,clear sky
Campbellsville,US,37.3434,-85.3419,55.4,67,1,9.22,clear sky
Guaraniacu,BR,-25.1008,-52.8781,58.95,76,12,2.15,few clouds
Vikindu,TZ,-7.0067,39.2985,77.0,94,75,5.75,light rain
Vestmannaeyjar,IS,63.4427,-20.2734,36.0,97,100,24.49,overcast clouds
West Wendover,US,40.7391,-114.0733,55.4,16,1,13.8,clear sky
Trincomalee,LK,8.5711,81.2335,83.73,71,11,10.96,few clouds
Sharan,RU,54.8167,54.0,48.36,74,99,13.67,overcast clouds
Lumeje,AO,-11.55,20.7833,66.6,79,81,5.79,broken clouds
Vila Velha,BR,-20.3297,-40.2925,72.0,82,0,3.44,clear sky
Khandbari,NP,27.3747,87.2039,90.16,5,0,5.14,clear sky
Istanbul,TR,41.0351,28.9833,45.0,81,0,5.75,clear sky
Gushikawa,JP,26.3544,127.8686,75.2,60,20,20.71,few clouds
Mochudi,BW,-24.4167,26.15,59.0,82,0,8.05,clear sky
Komsomolets,KZ,53.7453,62.0708,40.6,81,75,7.9,broken clouds
Rancho Palos Verdes,US,33.7445,-118.387,60.01,81,100,8.68,overcast clouds
Sakakah,SA,29.9697,40.2064,51.8,43,0,10.36,clear sky
Chinhoyi,ZW,-17.3667,30.2,66.2,57,0,5.68,clear sky
Cherskiy,RU,68.75,161.3,-1.52,87,90,4.21,overcast clouds
Bembibre,ES,42.6177,-6.4155,48.99,99,100,4.0,overcast clouds
San Martin,AR,-33.081,-68.4681,46.4,100,27,2.3,scattered clouds
Castro,BR,-24.7911,-50.0119,57.7,72,39,2.35,scattered clouds
Saint George,US,37.1041,-113.5841,68.0,12,1,2.53,clear sky
Alta,NO,69.9689,23.2717,37.0,69,20,8.05,light rain
Odweyne,SO,9.4092,45.064,74.86,47,71,11.63,broken clouds
Saint-Joseph,RE,-21.3667,55.6167,82.4,69,0,3.44,clear sky
Helong,CN,42.5397,128.9972,62.94,37,95,9.24,overcast clouds
Saint-Pierre,RE,-21.3393,55.4781,82.4,69,0,3.44,clear sky
Mount Isa,AU,-20.7333,139.5,87.8,18,7,16.11,clear sky
Faya,SA,18.3851,42.4509,69.8,21,0,5.75,clear sky
Wyndham,US,37.6985,-77.6125,64.99,94,75,4.61,broken clouds
Sabang,ID,5.8933,95.3214,83.8,70,79,9.8,broken clouds
Poronaysk,RU,49.2167,143.1167,47.55,58,15,13.31,few clouds
Lompoc,US,34.6391,-120.4579,50.0,81,38,6.91,scattered clouds
Esperance,AU,-33.8667,121.9,68.0,52,100,17.27,overcast clouds
Poya,NC,-21.35,165.15,77.63,85,86,5.12,overcast clouds
Jinchang,CN,38.4953,102.1739,59.11,24,100,13.91,overcast clouds
Hithadhoo,MV,-0.6,73.0833,83.41,70,75,10.16,broken clouds
Aloleng,PH,16.1307,119.7824,85.53,60,44,11.5,scattered clouds
Viedma,AR,-40.8135,-62.9967,56.32,60,37,8.39,scattered clouds
Vallenar,CL,-28.5708,-70.7581,62.4,59,0,0.49,clear sky
Pacifica,US,37.6138,-122.4869,50.0,81,1,8.05,haze
Coro,VE,11.4045,-69.6734,77.47,84,100,11.48,overcast clouds
Emerald,AU,-23.5333,148.1667,93.0,22,40,9.22,scattered clouds
Luau,AO,-10.7073,22.2247,64.92,85,98,3.91,overcast clouds
Ahipara,NZ,-35.1667,173.1667,66.13,85,0,5.03,clear sky
Envira,BR,-7.3,-70.2167,71.26,98,98,1.1,overcast clouds
Hofn,IS,64.2539,-15.2082,31.35,55,100,10.89,overcast clouds
Barcelos,PT,41.5388,-8.6151,53.01,100,20,3.44,few clouds
Camargo,MX,27.6667,-105.1667,74.32,15,29,20.69,scattered clouds
Baykit,RU,61.67,96.37,33.53,93,100,5.7,light snow
Olinda,BR,-8.0089,-34.8553,71.6,94,75,11.5,moderate rain
Sebeta,ET,8.9167,38.6167,64.4,48,40,6.91,scattered clouds
Sorland,NO,67.667,12.6934,36.54,82,100,22.15,overcast clouds
Marawi,PH,7.9986,124.2928,82.99,79,97,7.0,overcast clouds
Harper,LR,4.375,-7.7169,79.68,84,87,7.0,overcast clouds
Yenagoa,NG,4.9247,6.2642,76.55,89,100,5.08,overcast clouds
Lantawan,PH,10.6167,123.9833,87.8,62,75,11.5,broken clouds
Boende,CD,-0.2167,20.8667,69.44,99,100,4.81,moderate rain
Narsaq,GL,60.9167,-46.05,33.8,80,40,7.25,scattered clouds
Vostok,RU,46.4856,135.8833,55.22,35,94,12.8,overcast clouds
Sao Felix Do Xingu,BR,-6.6447,-51.995,70.27,98,92,1.28,overcast clouds
Idlib,SY,35.9306,36.6339,48.2,100,75,3.44,broken clouds
Price,US,39.5994,-110.8107,42.8,26,1,6.91,clear sky
Myre,NO,69.1036,15.9492,35.6,80,75,19.57,light rain
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,77.7,73,98,7.27,overcast clouds
Bjornevatn,NO,69.6672,29.9847,24.8,68,20,17.27,few clouds
Moissala,TD,8.3404,17.7663,81.59,47,54,3.6,broken clouds
Talnakh,RU,69.4865,88.3972,29.44,88,69,5.35,broken clouds
Rosario,AR,-32.9468,-60.6393,60.01,88,90,23.02,overcast clouds
Hasaki,JP,35.7333,140.8333,60.8,44,40,8.05,scattered clouds
Dingle,PH,10.9995,122.6711,88.05,57,81,11.05,broken clouds
Itupiranga,BR,-5.1347,-49.3267,75.2,100,0,1.88,clear sky
Iranshahr,IR,27.2025,60.6848,84.2,18,0,2.48,clear sky
Novara,IT,45.5853,8.5778,44.6,93,75,8.05,light rain
Dwarka,IN,22.2394,68.9678,84.92,53,0,12.46,clear sky
Boissevain,CA,49.2306,-100.0559,46.99,42,1,12.66,clear sky
Paciran,ID,-6.8767,112.3761,86.58,65,38,4.99,scattered clouds
Kapasan,ID,-6.7773,111.3789,86.04,69,81,1.01,broken clouds
Ferrol,ES,43.4832,-8.2369,51.01,71,20,8.05,few clouds
Mayumba,GA,-3.432,10.6554,78.22,82,100,4.79,overcast clouds
Alyangula,AU,-13.8483,136.4192,87.8,70,40,5.75,scattered clouds
Taltal,CL,-25.4,-70.4833,62.92,83,6,1.16,clear sky
Gamba,GA,-2.65,10.0,76.75,89,100,4.97,overcast clouds
Srednekolymsk,RU,67.45,153.6833,1.85,80,100,9.64,overcast clouds
Yarmouth,US,41.7057,-70.2286,54.0,94,40,9.22,scattered clouds
Tuatapere,NZ,-46.1333,167.6833,57.99,81,87,5.99,overcast clouds
Buloh Kasap,MY,2.5536,102.764,89.6,66,20,4.61,few clouds
Sahuaripa,MX,29.05,-109.2333,69.53,37,30,5.91,scattered clouds
San Andres,CO,12.5847,-81.7006,80.6,83,40,8.05,scattered clouds
Dossor,KZ,47.5272,52.9811,65.95,29,46,22.5,scattered clouds
Ulagan,RU,50.6321,87.9563,38.66,46,21,2.91,few clouds
Portel,BR,-1.9356,-50.8211,73.33,97,100,2.35,overcast clouds
Kerewan,GM,13.4898,-16.0888,66.2,94,0,5.66,clear sky
Ukiah,US,39.1502,-123.2078,53.6,58,1,3.87,clear sky
Algeciras,ES,36.1333,-5.4505,57.2,94,20,2.3,few clouds
Suntar,RU,62.1444,117.6319,19.98,65,100,8.61,overcast clouds
Vardo,NO,70.3705,31.1107,28.49,85,28,24.02,scattered clouds
Svetlaya,RU,46.5389,138.3297,48.2,51,79,16.49,broken clouds
College,US,64.8569,-147.8028,10.4,33,75,3.44,broken clouds
Kang,BW,-23.6752,22.7876,68.05,49,0,5.61,clear sky
Trelew,AR,-43.249,-65.3051,59.11,50,35,13.04,scattered clouds
Saskylakh,RU,71.9167,114.0833,17.49,72,100,12.41,overcast clouds
Ormara,PK,25.2088,64.6357,83.88,46,1,10.25,clear sky
Tyazhinskiy,RU,56.116,88.524,39.11,67,76,2.04,broken clouds
Ambatofinandrahana,MG,-20.55,46.8,66.85,64,97,4.12,overcast clouds
Lasa,IT,46.6166,10.7002,46.0,100,75,6.91,mist
Tygda,RU,53.1167,126.3333,28.53,41,47,10.6,scattered clouds
Bara,NG,10.3744,10.7288,81.9,26,33,7.23,scattered clouds
Lamar,US,33.6668,-95.5836,51.8,71,1,3.0,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,100,75,16.11,broken clouds
Cockburn Town,TC,21.4612,-71.1419,74.98,62,50,15.03,scattered clouds
Kushima,JP,31.4583,131.2333,68.0,52,75,13.8,broken clouds
